"","x"
"131","10.1002/1438-390x.12035"
"132","10.1016/j.fertnstert.2016.11.006"
"133","10.1371/journal.pbio.2000410"
"134","10.1111/2041-210x.12239"
"135","10.3390/nu15051273"
"136","10.1016/j.cub.2011.07.020"
"137","10.1016/0531-5565(80)90007-8"
"138","10.7554/elife.61459"
"139","10.1111/j.1474-9726.2006.00244.x"
"140","10.1073/pnas.2019536118"
"141","10.1016/j.annepidem.2014.12.002"
"142","10.1007/s00442-016-3615-4"
"143","10.1016/j.trsl.2013.11.007"
"144","10.1098/rspb.2017.1567"
"145","10.1134/s0006297918120076"
"146","10.1111/j.1749-6632.2000.tb06655.x"
"147","10.1098/rsos.230080"
"148","10.1111/jeb.12423"
"149","10.1093/evolut/qpad091"
"150","10.1111/jeb.13954"
"151","10.1016/j.exger.2015.08.017"
"152","10.1371/journal.pone.0048302"
"153","10.4252/wjsc.v13.i11.1714"
"154","10.1134/s207908641901002x"
"155","10.1134/s2079057013030120"
"156","10.1016/s0531-5565(01)00123-1"
"157","10.1016/j.jtbi.2007.08.016"
"158","10.1016/j.jtbi.2007.09.016"
"159","10.1016/0047-6374(92)90127-y"
"160","10.1111/j.1461-0248.2011.01668.x"
"161","10.1186/1752-0509-1-17"
"162","10.1554/05-693.1"
"163","10.1017/s1473550422000246"
"164","10.1111/mec.15868"
"165","10.1093/icb/icq049"
"166","10.1007/s12603-009-0050-9"
"167","10.1007/s11357-013-9581-4"
"168","10.1016/j.exger.2023.112182"
"169","10.1016/s0022-5193(05)80243-7"
"170","10.1016/j.mehy.2006.01.055"
"171","10.1038/s42003-023-05260-9"
"172","10.1016/j.arr.2013.01.004"
"173","10.1098/rstb.2019.0729"
"174","10.1016/j.fertnstert.2015.03.030"
"175","10.1134/s0006297913090137"
"176","10.1134/s1067413620010142"
"177","10.1039/c004635c"
"178","10.1016/j.mad.2010.09.004"
