"doi","container.title","title","author","type","publisher"
"10.1021/acs.biochem.8b00940","Biochemistry","Conformational Stabilization and Rapid Labeling of a 29-Residue Peptide by a Small Molecule Reaction Partner","http://orcid.org/0000-0002-9383-2185","journal-article","American Chemical Society (ACS)"
"10.7554/elife.32955","eLife","Structural basis of ribosomal peptide macrocyclization in plants","Joel","journal-article","eLife Sciences Publications, Ltd"
"10.1038/s41467-022-29210-x","Nature Communications","De novo design and directed folding of disulfide-bridged peptide heterodimers","http://orcid.org/0000-0002-6463-7612","journal-article","Springer Science and Business Media LLC"
"10.1186/s12870-018-1361-y","BMC Plant Biology","Molecular diversity and function of jasmintides from Jasminum sambac","Geeta","journal-article","Springer Science and Business Media LLC"
"10.1039/c9cc07898c","Chemical Communications","Reprogramming biological peptides to combat infectious diseases","http://orcid.org/0000-0002-6165-9138","journal-article","Royal Society of Chemistry (RSC)"
"10.1021/acs.biochem.7b00722","Biochemistry","Heterochiral Knottin Protein: Folding and Solution Structure","Surin K.","journal-article","American Chemical Society (ACS)"
"10.1021/acs.biochem.7b00375","Biochemistry","Metamorphic Proteins: Emergence of Dual Protein Folds from One Primary Sequence","Muralikrishna","journal-article","American Chemical Society (ACS)"
"10.1039/d1md00098e","RSC Medicinal Chemistry","Cyclisation strategies for stabilising peptides with irregular conformations","Quynh Ngoc","journal-article","Royal Society of Chemistry (RSC)"
"10.1016/j.crstbi.2021.02.002","Current Research in Structural Biology","Biochemical and structural characterization of two cif-like epoxide hydrolases from Burkholderia cenocepacia","http://orcid.org/0000-0001-8783-120X","journal-article","Elsevier BV"
"10.1016/j.matt.2019.09.013","Matter","Dynamically Tunable, Macroscopic Molecular Networks Enabled by Cellular Synthesis of 4-Arm Star-like Proteins","Zhongguang","journal-article","Elsevier BV"
"10.1021/jacs.2c04620","Journal of the American Chemical Society","Construction of Complex Macromulticyclic Peptides via Stitching with Formaldehyde and Guanidine","Bo","journal-article","American Chemical Society (ACS)"
"10.1021/jacs.2c00216","Journal of the American Chemical Society","Design and Ribosomal Incorporation of Noncanonical Disulfide-Directing Motifs for the Development of Multicyclic Peptide Libraries","Huilei","journal-article","American Chemical Society (ACS)"
"10.1186/s40580-021-00294-3","Nano Convergence","Supramolecular assembly of protein building blocks: from folding to function","Nam Hyeong","journal-article","Springer Science and Business Media LLC"
"10.1093/protein/gzab007","Protein Engineering, Design and Selection","Breakthroughs in computational design methods open up new frontiers for <i>de novo</i> protein engineering","Ben A","journal-article","Oxford University Press (OUP)"
"10.1093/protein/gzz016","Protein Engineering, Design and Selection","ROSETTA-informed design of structurally stabilized cyclic anti-amyloid peptides","Chandler B","journal-article","Oxford University Press (OUP)"
"10.1093/protein/gzz009","Protein Engineering, Design and Selection","Design of catalytic polypeptides and proteins","B","journal-article","Oxford University Press (OUP)"
"10.1093/protein/gzy028","Protein Engineering, Design and Selection","An adaptive geometric search algorithm for macromolecular scaffold selection","Tian","journal-article","Oxford University Press (OUP)"
"10.1016/j.biotechadv.2022.108032","Biotechnology Advances","Protein scaffolds in human clinics","Olivia","journal-article","Elsevier BV"
"10.1002/macp.202200103","Macromolecular Chemistry and Physics","Morphogenesis of Cell‐Shaped Assemblies via Heterotypic Assembly of Cyclic Triblock Peptides","Hyoseok","journal-article","Wiley"
"10.1002/pro.4368","Protein Science","<scp>AlphaFold</scp> accurately predicts distinct conformations based on the oligomeric state of a de novo designed protein","Matthew C.","journal-article","Wiley"
"10.1002/pro.3974","Protein Science","Computational design of mixed chirality peptide macrocycles with internal symmetry","http://orcid.org/0000-0001-6038-8922","journal-article","Wiley"
"10.1002/pro.3758","Protein Science","Structural diversity in the <i>Mycobacteria</i> DUF3349 superfamily","http://orcid.org/0000-0002-3639-1061","journal-article","Wiley"
"10.1002/pro.3721","Protein Science","Integration of the Rosetta suite with the python software stack via reproducible packaging and core programming interfaces for distributed simulation","Alexander S.","journal-article","Wiley"
"10.1002/pro.3601","Protein Science","General lack of structural characterization of chemically synthesized long peptides","http://orcid.org/0000-0003-0068-7204","journal-article","Wiley"
"10.1038/s41467-021-27222-7","Nature Communications","Ensuring scientific reproducibility in bio-macromolecular modeling via extensive, automated benchmarks","http://orcid.org/0000-0002-5693-3593","journal-article","Springer Science and Business Media LLC"
"10.1038/s41467-017-02098-8","Nature Communications","Mammalian display screening of diverse cystine-dense peptides for difficult to drug targets","http://orcid.org/0000-0002-1142-9748","journal-article","Springer Science and Business Media LLC"
"10.3390/info8010029","Information","Structural and Functional Modeling of Artificial Bioactive Proteins","Nikola","journal-article","MDPI AG"
"10.1016/j.bcp.2020.114291","Biochemical Pharmacology","Small cyclic sodium channel inhibitors","http://orcid.org/0000-0003-0504-5702","journal-article","Elsevier BV"
"10.1038/s41524-020-0288-7","npj Computational Materials","Molecular recognition and specificity of biomolecules to titanium dioxide from molecular dynamics simulations","http://orcid.org/0000-0001-6005-9096","journal-article","Springer Science and Business Media LLC"
"10.1002/pro.3453","Protein Science","Cytosolic expression, solution structures, and molecular dynamics simulation of genetically encodable disulfide‐rich <i>de novo</i> designed peptides","Garry W.","journal-article","Wiley"
"10.1002/pro.3313","Protein Science","Web‐accessible molecular modeling with Rosetta: The Rosetta Online Server that Includes Everyone (ROSIE)","Rocco","journal-article","Wiley"
"10.1021/acs.analchem.8b01556","Analytical Chemistry","Characterization of Disulfide Linkages in Proteins by 193 nm Ultraviolet Photodissociation (UVPD) Mass Spectrometry","M. Montana","journal-article","American Chemical Society (ACS)"
"10.1021/acs.analchem.8b01624","Analytical Chemistry","Rosetta Protein Structure Prediction from Hydroxyl Radical Protein Footprinting Mass Spectrometry Data","Melanie L.","journal-article","American Chemical Society (ACS)"
"10.1002/anie.201901572","Angewandte Chemie International Edition","Anchor Residues Guide Form and Function in Grafted Peptides","http://orcid.org/0000-0002-7583-4961","journal-article","Wiley"
"10.1002/anie.201813827","Angewandte Chemie International Edition","Chemical and Ribosomal Synthesis of Topologically Controlled Bicyclic and Tricyclic Peptide Scaffolds Primed by Selenoether Formation","Yizhen","journal-article","Wiley"
"10.1016/j.molliq.2021.116537","Journal of Molecular Liquids","Molecular basis of the new COVID-19 target neuropilin-1 in complex with SARS-CoV-2 S1 C-end rule peptide and small-molecule antagonists","Methus","journal-article","Elsevier BV"
"10.1021/jacs.1c04378","Journal of the American Chemical Society","Stapled β-Hairpins Featuring 4-Mercaptoproline","Jennifer R.","journal-article","American Chemical Society (ACS)"
"10.1039/d0cb00062k","RSC Chemical Biology","Harnessing cyclotides to design and develop novel peptide GPCR ligands","http://orcid.org/0000-0002-6011-0805","journal-article","Royal Society of Chemistry (RSC)"
"10.1073/pnas.2116097119","Proceedings of the National Academy of Sciences","Massively parallel, computationally guided design of a proenzyme","http://orcid.org/0000-0001-6812-6329","journal-article","Proceedings of the National Academy of Sciences"
"10.1002/syst.202000025","ChemSystemsChem","Combinatorial Discovery and Validation of Heptapeptides with UTP Binding Induced Structure","http://orcid.org/0000-0003-1483-9096","journal-article","Wiley"
"10.1016/j.gce.2022.07.010","Green Chemical Engineering","Multi-functional engineered polypeptide-based drug delivery systems for improved cancer therapy","Xiaobin","journal-article","Elsevier BV"
"10.1093/bib/bbad289","Briefings in Bioinformatics","Artificial intelligence-aided protein engineering: from topological data analysis to deep protein language models","Yuchi","journal-article","Oxford University Press (OUP)"
"10.1126/science.abj7662","Science","Reconfigurable asymmetric protein assemblies through implicit negative design","http://orcid.org/0000-0001-9095-0744","journal-article","American Association for the Advancement of Science (AAAS)"
"10.1088/1361-6633/ac78ef","Reports on Progress in Physics","Key aspects of the past 30 years of protein design","Giulia","journal-article","IOP Publishing"
"10.1016/j.sbi.2020.10.015","Current Opinion in Structural Biology","Toward complete rational control over protein structure and function through computational design","http://orcid.org/0000-0001-8586-1907","journal-article","Elsevier BV"
"10.1002/anie.201801361","Angewandte Chemie International Edition","Emerging Methods and Design Principles for Cell‐Penetrant Peptides","Leila","journal-article","Wiley"
"10.1016/j.bmcl.2022.128806","Bioorganic &amp; Medicinal Chemistry Letters","Miniproteins in medicinal chemistry","Agnieszka","journal-article","Elsevier BV"
"10.1038/s41467-021-23609-8","Nature Communications","Anchor extension: a structure-guided approach to design cyclic peptides targeting enzyme active sites","http://orcid.org/0000-0002-3128-7433","journal-article","Springer Science and Business Media LLC"
"10.1002/1873-3468.13796","FEBS Letters","Synthetic biology principles for the design of protein with novel structures and functions","Weijun","journal-article","Wiley"
"10.1002/1873-3468.13444","FEBS Letters","Computational design and optimization of novel <scp>d</scp>‐peptide <scp>TNF</scp>α inhibitors","http://orcid.org/0000-0003-4909-8718","journal-article","Wiley"
"10.1021/acs.jmedchem.0c02159","Journal of Medicinal Chemistry","Conformational Strain of Macrocyclic Peptides in Ligand–Receptor Complexes Based on Advanced Refinement of Bound-State Conformers","http://orcid.org/0000-0001-5866-0878","journal-article","American Chemical Society (ACS)"
"10.1039/c7cc09142g","Chemical Communications","A phage display-based strategy for the <i>de novo</i> creation of disulfide-constrained and isomer-free bicyclic peptide affinity reagents","Mirao","journal-article","Royal Society of Chemistry (RSC)"
"10.1002/pro.4908","Protein Science","Modeling membrane geometries implicitly in Rosetta","http://orcid.org/0000-0001-6615-545X","journal-article","Wiley"
"10.1016/j.tibs.2019.12.008","Trends in Biochemical Sciences","Miniproteins as a Powerful Modality in Drug Development","Zachary R.","journal-article","Elsevier BV"
"10.1016/j.sbi.2020.04.006","Current Opinion in Structural Biology","Design of novel protein building modules and modular architectures","http://orcid.org/0000-0003-1195-3758","journal-article","Elsevier BV"
"10.1016/j.sbi.2017.03.012","Current Opinion in Structural Biology","Protein structural motifs in prediction and design","Craig O","journal-article","Elsevier BV"
"10.1016/j.bmcl.2021.127852","Bioorganic &amp; Medicinal Chemistry Letters","Machine learning classifiers aid virtual screening for efficient design of mini-protein therapeutics","http://orcid.org/0000-0002-5926-9966","journal-article","Elsevier BV"
"10.1021/jacs.9b11617","Journal of the American Chemical Society","Sequence–Structure–Binding Relationships Reveal Adhesion Behavior of the Car9 Solid-Binding Peptide: An Integrated Experimental and Simulation Study","Brittney","journal-article","American Chemical Society (ACS)"
"10.1021/acs.jmedchem.0c01500","Journal of Medicinal Chemistry","Automated Design of Macrocycles for Therapeutic Applications: From Small Molecules to Peptides and Proteins","Dan","journal-article","American Chemical Society (ACS)"
"10.1021/acs.jmedchem.0c00303","Journal of Medicinal Chemistry","Cyclic Derivative of Host-Defense Peptide IDR-1018 Improves Proteolytic Stability, Suppresses Inflammation, and Enhances In Vivo Activity","http://orcid.org/0000-0001-6386-2407","journal-article","American Chemical Society (ACS)"
"10.1073/pnas.2102164118","Proceedings of the National Academy of Sciences","Computational design of a synthetic PD-1 agonist","http://orcid.org/0000-0003-4722-4565","journal-article","Proceedings of the National Academy of Sciences"
"10.1073/pnas.2102168118","Proceedings of the National Academy of Sciences","Identifying the origin of local flexibility in a carbohydrate polymer","http://orcid.org/0000-0001-8598-8035","journal-article","Proceedings of the National Academy of Sciences"
"10.1016/j.bpj.2024.01.029","Biophysical Journal","Generative β-hairpin design using a residue-based physicochemical property landscape","Vardhan","journal-article","Elsevier BV"
"10.4155/tde-2017-0020","Therapeutic Delivery","Targeting and Delivery of Therapeutic Enzymes","Scott N","journal-article","Informa UK Limited"
"10.1021/acs.joc.0c01600","The Journal of Organic Chemistry","Design and Synthesis of Disulfide-Rich Peptides with Orthogonal Disulfide Pairing Motifs","Zirong","journal-article","American Chemical Society (ACS)"
"10.1080/17460441.2021.1961740","Expert Opinion on Drug Discovery","How can we improve peptide drug discovery? Learning from the past","http://orcid.org/0000-0003-0007-6796","journal-article","Informa UK Limited"
"10.1080/17460441.2021.1918097","Expert Opinion on Drug Discovery","Current directions in combining simulation-based macromolecular modeling approaches with deep learning","http://orcid.org/0000-0001-6038-8922","journal-article","Informa UK Limited"
"10.1080/17460441.2020.1751117","Expert Opinion on Drug Discovery","The emerging role of computational design in peptide macrocycle drug discovery","http://orcid.org/0000-0001-6038-8922","journal-article","Informa UK Limited"
"10.1080/17460441.2019.1552936","Expert Opinion on Drug Discovery","Advances in distributed computing with modern drug discovery","Antonio Jesús","journal-article","Informa UK Limited"
"10.1080/17460441.2018.1465922","Expert Opinion on Drug Discovery","Recent advances in automated protein design and its future challenges","Dani","journal-article","Informa UK Limited"
"10.1080/17460441.2018.1445085","Expert Opinion on Drug Discovery","Bioactive cyclic molecules and drug design","David J.","journal-article","Informa UK Limited"
"10.1080/17460441.2017.1317243","Expert Opinion on Drug Discovery","Enhancing the therapeutic potential of peptide toxins","Raymond S.","journal-article","Informa UK Limited"
"10.1073/pnas.2021569118","Proceedings of the National Academy of Sciences","Transferrin receptor targeting by de novo sheet extension","http://orcid.org/0000-0001-9095-0744","journal-article","Proceedings of the National Academy of Sciences"
"10.1073/pnas.2012800118","Proceedings of the National Academy of Sciences","Computationally designed peptide macrocycle inhibitors of New Delhi metallo-β-lactamase 1","http://orcid.org/0000-0001-6038-8922","journal-article","Proceedings of the National Academy of Sciences"
"10.1073/pnas.2017228118","Proceedings of the National Academy of Sciences","Protein sequence design by conformational landscape optimization","http://orcid.org/0000-0002-1450-4651","journal-article","Proceedings of the National Academy of Sciences"
"10.1039/c7cc90258a","Chemical Communications","Highlights from the 52nd EUCHEM conference on stereochemistry, Bürgenstock, Switzerland, May 2017","http://orcid.org/0000-0001-6503-2095","journal-article","Royal Society of Chemistry (RSC)"
"10.1073/pnas.2206240119","Proceedings of the National Academy of Sciences","De novo designed protein inhibitors of amyloid aggregation and seeding","http://orcid.org/0000-0003-1969-7701","journal-article","Proceedings of the National Academy of Sciences"
"10.1080/07391102.2019.1682051","Journal of Biomolecular Structure and Dynamics","What limits the primary sequence space of natural proteins?","Aditya","journal-article","Informa UK Limited"
"10.1021/acscentsci.8b00912","ACS Central Science","Predicting Protein Complex Structure from Surface-Induced Dissociation Mass Spectrometry Data","Justin T.","journal-article","American Chemical Society (ACS)"
"10.1016/j.jsb.2018.02.004","Journal of Structural Biology","Combining Rosetta with molecular dynamics (MD): A benchmark of the MD-based ensemble protein design","Jan","journal-article","Elsevier BV"
"10.1016/j.jsb.2017.09.001","Journal of Structural Biology","Elfin: An algorithm for the computational design of custom three-dimensional structures from modular repeat protein building blocks","Chun-Ting","journal-article","Elsevier BV"
"10.1002/ange.201813827","Angewandte Chemie","Chemical and Ribosomal Synthesis of Topologically Controlled Bicyclic and Tricyclic Peptide Scaffolds Primed by Selenoether Formation","Yizhen","journal-article","Wiley"
"10.1038/s41587-020-0577-1","Nature Biotechnology","Implications of antibody-dependent enhancement of infection for SARS-CoV-2 countermeasures","Nikolai","journal-article","Springer Science and Business Media LLC"
"10.1002/cbic.202100450","ChemBioChem","Chemical Modification of Phage‐Displayed Helix‐Loop‐Helix Peptides to Construct Kinase‐Focused Libraries","http://orcid.org/0000-0002-6230-5534","journal-article","Wiley"
"10.18359/rfcb.5434","Revista Facultad de Ciencias Básicas","Potencial actividad antimicrobiana del péptido BTM-P1 en alimentos","José Alexander","journal-article","Universidad Militar Nueva Granada"
"10.1016/j.xphs.2020.12.041","Journal of Pharmaceutical Sciences","Discovery of a dual pathway aggregation mechanism for a therapeutic constrained peptide","Tao","journal-article","Elsevier BV"
"10.1021/acs.accounts.7b00186","Accounts of Chemical Research","Miniprotein Design: Past, Present, and Prospects","Emily G.","journal-article","American Chemical Society (ACS)"
"10.1021/acs.jpcb.8b10649","The Journal of Physical Chemistry B","Toward Structure Determination of Disulfide-Rich Peptides Using Chemical Shift-Based Methods","http://orcid.org/0000-0002-7973-7632","journal-article","American Chemical Society (ACS)"
"10.1021/acschemneuro.1c00567","ACS Chemical Neuroscience","Optimizing Epitope Conformational Ensembles Using α-Synuclein Cyclic Peptide “Glycindel” Scaffolds: A Customized Immunogen Method for Generating Oligomer-Selective Antibodies for Parkinson’s Disease","http://orcid.org/0000-0001-5348-7877","journal-article","American Chemical Society (ACS)"
"10.1039/c9ra02137j","RSC Advances","Rational re-design of <i>Lactobacillus reuteri</i> 121 inulosucrase for product chain length control","Thanapon","journal-article","Royal Society of Chemistry (RSC)"
"10.1038/s41467-020-20549-7","Nature Communications","Accurate protein structure prediction with hydroxyl radical protein footprinting data","Sarah E.","journal-article","Springer Science and Business Media LLC"
"10.1021/acs.jmedchem.8b00378","Journal of Medicinal Chemistry","New Modalities, Technologies, and Partnerships in Probe and Lead Generation: Enabling a Mode-of-Action Centric Paradigm","http://orcid.org/0000-0001-8270-9432","journal-article","American Chemical Society (ACS)"
"10.1016/j.cclet.2022.107871","Chinese Chemical Letters","In silico design of anti-tumor mini-protein targeting MDM2","Jinghui","journal-article","Elsevier BV"
"10.1126/science.aau3775","Science","De novo design of self-assembling helical protein filaments","http://orcid.org/0000-0001-8875-6491","journal-article","American Association for the Advancement of Science (AAAS)"
"10.1039/d2sc00924b","Chemical Science","Structure-guided design of CPPC-paired disulfide-rich peptide libraries for ligand and drug discovery","Yapei","journal-article","Royal Society of Chemistry (RSC)"
"10.1016/j.biomaterials.2017.02.023","Biomaterials","TLR4/MD2 specific peptides stalled in vivo LPS-induced immune exacerbation","Seolhee","journal-article","Elsevier BV"
"10.1021/acsnano.0c09509","ACS Nano","Synthetic Biology and Computer-Based Frameworks for Antimicrobial Peptide Discovery","Marcelo D. T.","journal-article","American Chemical Society (ACS)"
"10.1002/anie.201611914","Angewandte Chemie International Edition","New Modalities for Challenging Targets in Drug Discovery","Eric","journal-article","Wiley"
"10.1021/acs.joc.9b00164","The Journal of Organic Chemistry","Design and Synthesis of Cross-Link-Dense Peptides by Manipulating Regioselective Bisthioether Cross-Linking and Orthogonal Disulfide Pairing","Huilei","journal-article","American Chemical Society (ACS)"
"10.1021/jacs.8b11246","Journal of the American Chemical Society","A Hendecad Motif Is Preferred for Heterochiral Coiled-Coil Formation","http://orcid.org/0000-0003-4758-7913","journal-article","American Chemical Society (ACS)"
"10.3390/v13102047","Viruses","In Silico Structure-Based Design of Antiviral Peptides Targeting the Severe Fever with Thrombocytopenia Syndrome Virus Glycoprotein Gn","http://orcid.org/0000-0001-7996-1119","journal-article","MDPI AG"
"10.1038/s41467-023-41717-5","Nature Communications","Single-chain dimers from de novo immunoglobulins as robust scaffolds for multiple binding loops","Jorge","journal-article","Springer Science and Business Media LLC"
"10.1039/d1sc02952e","Chemical Science","An evolution-inspired strategy to design disulfide-rich peptides tolerant to extensive sequence manipulation","Jun","journal-article","Royal Society of Chemistry (RSC)"
"10.1039/d1sc00692d","Chemical Science","A chameleonic macrocyclic peptide with drug delivery applications","http://orcid.org/0000-0002-9316-1465","journal-article","Royal Society of Chemistry (RSC)"
"10.1039/d1sc01031j","Chemical Science","Target-templated <i>de novo</i> design of macrocyclic <scp>d</scp>-/<scp>l</scp>-peptides: discovery of drug-like inhibitors of PD-1","http://orcid.org/0000-0003-2644-1659","journal-article","Royal Society of Chemistry (RSC)"
"10.1002/anie.201702472","Angewandte Chemie International Edition","Designed Heme‐Cage β‐Sheet Miniproteins","Areetha","journal-article","Wiley"
"10.1021/jacs.8b10082","Journal of the American Chemical Society","Synthetic Control of Tertiary Helical Structures in Short Peptides","Michael G.","journal-article","American Chemical Society (ACS)"
"10.3389/fnmol.2019.00054","Frontiers in Molecular Neuroscience","Structure-Based Peptide Inhibitor Design of Amyloid-β Aggregation","Jinxia","journal-article","Frontiers Media SA"
"10.1021/acs.jnatprod.1c00672","Journal of Natural Products","Structural Characterization of the PawL-Derived Peptide Family, an Ancient Subfamily of Orbitides","http://orcid.org/0000-0002-9316-1465","journal-article","American Chemical Society (ACS)"
"10.1038/nature23912","Nature","Massively parallel de novo protein design for targeted therapeutics","Aaron","journal-article","Springer Science and Business Media LLC"
"10.1126/science.aap7577","Science","Comprehensive computational design of ordered peptide macrocycles","http://orcid.org/0000-0002-3128-7433","journal-article","American Association for the Advancement of Science (AAAS)"
"10.1126/science.aap9608","Science","A peptide mimic of an antibody","Timothy A.","journal-article","American Association for the Advancement of Science (AAAS)"
"10.1016/j.bmc.2020.115896","Bioorganic &amp; Medicinal Chemistry","Covalent peptides and proteins for therapeutics","Viktoriya Y.","journal-article","Elsevier BV"
"10.1073/pnas.1914982117","Proceedings of the National Academy of Sciences","Small protein folds at the root of an ancient metabolic network","Hagai","journal-article","Proceedings of the National Academy of Sciences"
"10.1021/acs.jnatprod.8b00521","Journal of Natural Products","Astratides: Insulin-Modulating, Insecticidal, and Antifungal Cysteine-Rich Peptides from <i>Astragalus membranaceus</i>","Jiayi","journal-article","American Chemical Society (ACS)"
"10.1515/hsz-2018-0348","Biological Chemistry","Computational design of structured loops for new protein functions","Kale","journal-article","Walter de Gruyter GmbH"
"10.1021/acs.jctc.3c01054","Journal of Chemical Theory and Computation","Computational Design of Peptide Assemblies","Jiwei","journal-article","American Chemical Society (ACS)"
"10.1126/science.aan0693","Science","Global analysis of protein folding using massively parallel design, synthesis, and testing","http://orcid.org/0000-0003-2253-5631","journal-article","American Association for the Advancement of Science (AAAS)"
"10.1111/febs.14394","The FEBS Journal","Structures and disulfide cross‐linking of <i>de novo</i> designed therapeutic mini‐proteins","Daniel‐Adriano","journal-article","Wiley"
"10.1098/rsif.2018.0472","Journal of The Royal Society Interface","Designed for life: biocompatible de novo designed proteins and components","http://orcid.org/0000-0003-3764-6406","journal-article","The Royal Society"
"10.1016/j.ddtec.2017.11.007","Drug Discovery Today: Technologies","Enzyme-catalyzed peptide cyclization","Marcel","journal-article","Elsevier BV"
"10.1021/acs.jcim.1c00453","Journal of Chemical Information and Modeling","Kinematic Reconstruction of Cyclic Peptides and Protein Backbones from Partial Data","http://orcid.org/0000-0002-9540-0490","journal-article","American Chemical Society (ACS)"
"10.1515/psr-2020-0125","Physical Sciences Reviews","Detection of cysteine-rich peptides in <i>Tragia benthamii</i> Baker (Euphorbiaceae) and <i>in vivo</i> antiinflammatory effect in a chick model","Alfred F.","journal-article","Walter de Gruyter GmbH"
"10.1021/acsbiomedchemau.2c00008","ACS Bio &amp; Med Chem Au","Design and Engineering of Miniproteins","http://orcid.org/0000-0002-2837-283X","journal-article","American Chemical Society (ACS)"
"10.1038/s41594-021-00649-8","Nature Structural &amp; Molecular Biology","De novo design of tyrosine and serine kinase-driven protein switches","http://orcid.org/0000-0002-2423-6590","journal-article","Springer Science and Business Media LLC"
"10.1038/s41594-018-0141-6","Nature Structural &amp; Molecular Biology","De novo design of a non-local β-sheet protein with high stability and accuracy","http://orcid.org/0000-0001-8736-4082","journal-article","Springer Science and Business Media LLC"
"10.1038/s41594-018-0033-9","Nature Structural &amp; Molecular Biology","Screening, large-scale production and structure-based classification of cystine-dense peptides","Colin E.","journal-article","Springer Science and Business Media LLC"
"10.1074/jbc.ra118.004146","Journal of Biological Chemistry","Discovery and engineering of enhanced SUMO protease enzymes","Yue-Ting K.","journal-article","Elsevier BV"
"10.1016/j.biotechadv.2018.10.011","Biotechnology Advances","The state-of-the-art strategies of protein engineering for enzyme stabilization","Qian","journal-article","Elsevier BV"
"10.1021/acs.chemrev.0c01087","Chemical Reviews","Elucidating Solution Structures of Cyclic Peptides Using Molecular Dynamics Simulations","Jovan","journal-article","American Chemical Society (ACS)"
"10.1002/chem.202101201","Chemistry – A European Journal","Accessing Improbable Foldamer Shapes with Strained Macrocycles","http://orcid.org/0000-0001-9600-7343","journal-article","Wiley"
"10.1021/acs.jcim.8b00375","Journal of Chemical Information and Modeling","Exhaustive Exploration of the Conformational Landscape of Small Cyclic Peptides Using a Robotics Approach","http://orcid.org/0000-0002-6092-4286","journal-article","American Chemical Society (ACS)"
"10.1021/acs.jcim.8b00267","Journal of Chemical Information and Modeling","Kinematic Flexibility Analysis: Hydrogen Bonding Patterns Impart a Spatial Hierarchy of Protein Motion","Dominik","journal-article","American Chemical Society (ACS)"
"10.1016/j.csbj.2022.08.070","Computational and Structural Biotechnology Journal","Protein–protein interaction prediction with deep learning: A comprehensive review","Farzan","journal-article","Elsevier BV"
"10.1073/pnas.2206111119","Proceedings of the National Academy of Sciences","A generic framework for hierarchical de novo protein design","Zander","journal-article","Proceedings of the National Academy of Sciences"
"10.1038/nature19946","Nature","The coming of age of de novo protein design","Po-Ssu","journal-article","Springer Science and Business Media LLC"
"10.1039/d3cc04630c","Chemical Communications","Unlocking novel therapies: cyclic peptide design for amyloidogenic targets through synergies of experiments, simulations, and machine learning","Daria","journal-article","Royal Society of Chemistry (RSC)"
"10.1039/c7sc05163h","Chemical Science","Protein stabilization by tuning the steric restraint at the reverse turn","http://orcid.org/0000-0002-6971-1500","journal-article","Royal Society of Chemistry (RSC)"
"10.1021/acsomega.0c02574","ACS Omega","<i>De Novo</i> Designed Heterochiral Blue Fluorescent Protein","Vivek","journal-article","American Chemical Society (ACS)"
